Symbol,Date,Open,High,Low,Close,Percent Change,Volume,Turn Over
BANKING,7/18/2023,1270.9,1294.21,1271.9,1283.82,1.08%,"613,688,355.40",-
BANKING,7/17/2023,1234.8,1270.44,1234.15,1270.08,2.86%,"432,898,984.30",-
BANKING,7/16/2023,1218.55,1236.23,1218.55,1234.8,1.33%,"315,582,129.20",-
BANKING,7/13/2023,1208.22,1232.72,1208.22,1218.55,0.31%,"336,828,495.70",-
BANKING,7/12/2023,1206.01,1217.01,1204.81,1214.77,0.73%,"277,344,800.60",-
BANKING,7/11/2023,1208.8,1213.65,1202.25,1206,-0.23%,"310,748,481.50",-
BANKING,7/10/2023,1209.4,1221.31,1204.97,1208.79,-0.02%,"399,079,686.50",-
BANKING,7/9/2023,1197.74,1219.57,1197.74,1209,0.68%,"408,970,075.50",-
BANKING,7/6/2023,1204.48,1212.37,1197.68,1200.86,-0.30%,"390,586,371.90",-
BANKING,7/5/2023,1210.32,1225.1,1202.22,1204.47,-0.90%,"393,254,738.90",-
BANKING,7/4/2023,1212.86,1226.91,1209.48,1215.46,0.09%,"307,934,409.80",-
BANKING,7/3/2023,1225.41,1228.55,1212.28,1214.4,-1.02%,"339,843,128.15",-
BANKING,7/2/2023,1257.81,1262.34,1224.37,1226.95,-2.38%,"460,790,658.75",-
BANKING,6/28/2023,1281.12,1302.51,1252.88,1256.83,-1.54%,"570,695,101.90",-
BANKING,6/27/2023,1229.86,1276.6,1229.86,1276.49,3.93%,"780,072,668.70",-
BANKING,6/26/2023,1219.85,1237.99,1219.85,1228.25,0.69%,"600,758,313.30",-
BANKING,6/25/2023,1207.11,1223.19,1201.51,1219.85,1.06%,"586,960,772.98",-
BANKING,6/22/2023,1214.05,1221.25,1202.81,1207.11,-0.57%,"280,089,837.00",-
BANKING,6/21/2023,1224.98,1229.81,1212.05,1214.04,-0.83%,"382,825,654.90",-
BANKING,6/20/2023,1224.54,1239.71,1221.4,1224.17,-0.04%,"279,545,063.30",-
BANKING,6/19/2023,1233.63,1240.02,1223.29,1224.61,-0.67%,"310,868,623.90",-
BANKING,6/18/2023,1235.44,1239.02,1228.69,1232.93,-0.29%,"374,339,680.80",-
BANKING,6/15/2023,1242.73,1245.23,1231.39,1236.48,-0.19%,"315,465,969.20",-
BANKING,6/14/2023,1222.45,1251.97,1221.2,1238.87,1.29%,"570,511,477.40",-
BANKING,6/13/2023,1215.45,1228.8,1209.15,1223.13,0.63%,"375,659,332.90",-
BANKING,6/12/2023,1212.74,1226.97,1212.43,1215.45,0.25%,"248,192,708.10",-
BANKING,6/11/2023,1204.17,1215.92,1203.43,1212.44,0.74%,"318,029,903.80",-
BANKING,6/8/2023,1208.53,1210.84,1200.99,1203.55,-0.26%,"224,137,905.40",-
BANKING,6/7/2023,1210.28,1215.94,1204.9,1206.69,-0.22%,"217,644,182.30",-
BANKING,6/6/2023,1207.51,1212.66,1201.12,1209.3,0.15%,"203,429,264.60",-
BANKING,6/5/2023,1219.63,1229.55,1206.34,1207.5,-0.75%,"198,006,655.70",-
BANKING,6/4/2023,1199.31,1233.11,1195.9,1216.66,1.45%,"238,180,370.10",-
BANKING,6/1/2023,1193.11,1207.87,1185.59,1199.31,0.58%,"265,026,491.10",-
BANKING,5/31/2023,1208.97,1214.6,1189.29,1192.36,-1.54%,"392,338,988.20",-
BANKING,5/30/2023,1240.7,1240.7,1209.68,1211.03,-2.42%,"339,090,122.80",-
BANKING,5/28/2023,1247.6,1261.5,1239.15,1241.04,-0.42%,"374,258,742.00",-
BANKING,5/24/2023,1245.06,1259.14,1236.74,1246.25,0.17%,"228,318,332.80",-
BANKING,5/23/2023,1222.84,1246.13,1222.84,1244.11,1.74%,"345,218,179.00",-
BANKING,5/22/2023,1223.13,1226.39,1214.69,1222.83,-0.02%,"202,060,844.70",-
BANKING,5/21/2023,1222.47,1237.14,1221.23,1223.12,0.05%,"231,111,727.00",-
BANKING,5/18/2023,1210.53,1227.92,1209.92,1222.46,1.10%,"285,844,342.20",-
BANKING,5/17/2023,1200.47,1213.42,1200.39,1209.14,0.72%,"182,996,830.30",-
BANKING,5/16/2023,1201.8,1205.13,1196.66,1200.47,-0.11%,"183,368,999.30",-
BANKING,5/15/2023,1205.5,1207.8,1197.35,1201.79,-0.31%,"186,202,404.60",-
BANKING,5/14/2023,1213.85,1224.24,1200.58,1205.5,-0.71%,"238,398,893.72",-
BANKING,5/11/2023,1211.96,1215.15,1207.87,1214.17,0.05%,"120,598,037.50",-
BANKING,5/10/2023,1217.93,1224.28,1212.65,1213.54,-0.22%,"152,701,678.70",-
BANKING,5/9/2023,1208.67,1224.05,1207.39,1216.17,0.30%,"135,024,237.70",-
BANKING,5/8/2023,1219.95,1225.23,1208.69,1212.59,-0.53%,"159,157,208.70",-
BANKING,5/7/2023,1229.48,1232.29,1217.78,1219.09,-0.74%,"144,574,231.40",-
BANKING,5/4/2023,1224.03,1238.38,1216.77,1228.2,0.34%,"158,804,203.70",-
BANKING,5/3/2023,1226.39,1228.96,1219.5,1224.03,-0.16%,"131,523,388.00",-
BANKING,5/2/2023,1227.57,1237.23,1219.72,1226.01,-0.09%,"163,260,834.90",-
BANKING,4/30/2023,1236.56,1239.54,1224.96,1227.08,-0.77%,"224,452,631.60",-
BANKING,4/27/2023,1235.03,1241.2,1225.79,1236.56,0.24%,"187,925,527.00",-
BANKING,4/26/2023,1243.23,1248.77,1231.5,1233.58,-0.62%,"185,913,664.30",-
BANKING,4/25/2023,1227.63,1241.24,1226.75,1241.24,0.99%,"168,502,387.50",-
BANKING,4/24/2023,1229.23,1232.85,1220.62,1229.07,-0.01%,"150,980,374.40",-
BANKING,4/23/2023,1245.95,1248.92,1226.9,1229.23,-1.34%,"198,191,860.90",-
BANKING,4/20/2023,1248.02,1261.76,1241.43,1245.94,-0.42%,"294,772,931.80",-
BANKING,4/19/2023,1237.77,1259.92,1237.77,1251.24,0.76%,"185,175,211.40",-
BANKING,4/18/2023,1237.61,1247.57,1233.13,1241.8,0.00%,"169,315,019.80",-
BANKING,4/17/2023,1254.99,1263.04,1240.09,1241.82,-1.05%,"199,087,184.70",-
BANKING,4/16/2023,1254.84,1268.36,1245.21,1254.99,0.01%,"176,697,086.70",-
BANKING,4/13/2023,1284.48,1292.37,1251.14,1254.84,-1.56%,"307,294,554.50",-
BANKING,4/12/2023,1207.56,1276.02,1207.56,1274.74,5.46%,"377,331,739.40",-
BANKING,4/11/2023,1194.46,1210.64,1192.16,1208.71,1.41%,"207,402,126.40",-
BANKING,4/10/2023,1187.81,1196.5,1184.5,1191.94,0.35%,"184,017,098.30",-
BANKING,4/9/2023,1203.73,1204.5,1184.69,1187.81,-1.26%,"268,597,977.80",-
BANKING,4/6/2023,1203.53,1217.28,1198.63,1202.92,0.04%,"185,851,596.80",-
BANKING,4/5/2023,1194.33,1203.67,1190.67,1202.38,0.65%,"169,424,196.30",-
BANKING,4/4/2023,1202.4,1205.3,1190.08,1194.56,-0.48%,"214,325,157.40",-
BANKING,4/3/2023,1209.31,1214.18,1195.84,1200.37,-0.74%,"210,921,010.40",-
BANKING,4/2/2023,1224.17,1237.39,1207.58,1209.31,-1.08%,"226,310,319.90",-
BANKING,3/30/2023,1228.53,1237.39,1219.02,1222.53,-0.42%,"145,205,907.80",-
BANKING,3/29/2023,1230.2,1230.82,1218.14,1227.68,-0.01%,"171,687,692.80",-
BANKING,3/28/2023,1224.06,1240.88,1224.06,1227.82,0.31%,"218,647,325.10",-
BANKING,3/27/2023,1219.97,1226.95,1205.79,1224.06,0.26%,"257,163,567.70",-
BANKING,3/26/2023,1238.75,1238.75,1216.73,1220.92,-1.42%,"284,814,894.10",-
BANKING,3/23/2023,1246.5,1251.84,1225.64,1238.48,-0.64%,"514,076,531.50",-
